Sex,Fatal
M,N
-,Y
M,N
M,N
M,N
F,Y
M,N
F,N
M,N
M,N
-,N
M,Y
M,N
-,Y
M,N
M,N
M,N
F,Y
M,Y
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,Y
-,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,Y
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,Y
-,-
M,N
M,N
-,N
M,N
M,Y
M,N
M,Y
M,N
-,N
M,N
-,N
M,N
M,-
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
M,Y
M,N
M,Y
-,N
-,Y
F,Y
-,N
M,N
M,N
M,Y
M,N
M,Y
M,Y
M,Y
M,N
M,Y
M,N
M,N
-,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,Y
M,Y
-,N
M,N
M,Y
-,Y
M,N
M,N
-,N
M,N
M,N
M,Y
F,N
-,-
M,N
M,N
F,N
M,N
M,N
M,Y
F,N
M,N
M,N
M,N
M,Y
M,N
M,Y
M,N
F,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
-,Y
M,Y
M,N
M,N
M,Y
M,N
M,N
M,N
-,Y
M,Y
F,Y
M,N
M,N
-,Y
M,N
M,Y
M,N
M,N
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,Y
M,N
F,Y
M,Y
-,N
-,N
M,N
M,N
M,N
-,N
-,N
-,-
M,Y
M,N
M,Y
-,N
M,N
M,Y
M,N
-,N
M,N
M,N
M,Y
M,N
M,N
F,N
M,Y
M,N
M,N
M,Y
M,Y
M,-
M,N
M,N
M,N
-,N
-,N
M,Y
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
M,Y
-,N
M,N
M,N
M,Y
M,Y
M,Y
M,N
-,N
M,N
M,N
M,N
-,Y
-,N
-,N
M,N
M,N
-,N
M,N
-,N
M,Y
M,N
M,N
M,N
M,Y
M,Y
M,N
-,-
M,Y
M,N
M,-
M,N
M,Y
-,N
M,N
M,N
-,N
M,N
-,N
M,N
F,N
-,N
M,Y
-,N
-,N
-,N
-,N
M,N
F,N
-,Y
M,N
F,Y
M,N
M,N
M,N
-,N
M,N
M,Y
M,N
-,Y
M,N
M,Y
M,N
M,Y
M,N
M,Y
M,N
M,N
M,N
M,N
-,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
-,Y
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
F,N
M,Y
M,N
M,Y
M,N
M,N
-,N
M,N
M,N
M,N
-,Y
M,N
M,N
M,N
-,Y
-,N
-,N
M,N
-,N
M,Y
-,Y
M,Y
F,N
M,Y
M,N
M,N
M,N
F,Y
M,N
M,N
-,N
M,N
M,Y
M,N
-,N
M,N
M,N
M,Y
M,Y
-,N
M,N
M,N
M,N
-,N
M,N
M,N
M,N
-,Y
M,Y
M,N
M,N
M,N
M,N
-,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
-,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
F,N
-,N
-,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
F,Y
M,Y
-,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
-,N
M,N
-,Y
M,N
-,N
-,N
M,Y
M,N
-,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
F,Y
F,N
-,N
-,N
-,Y
M,Y
M,Y
M,N
M,N
M,N
F,Y
M,N
M,N
M,N
-,Y
-,N
-,N
M,N
M,N
M,N
M,Y
-,N
M,N
M,Y
M,N
M,N
F,Y
M,N
-,-
-,N
-,Y
M,N
F,Y
-,N
M,N
M,N
M,Y
M,N
M,Y
M,N
-,Y
M,N
M,N
M,Y
F,N
M,N
M,Y
-,N
M,N
M,Y
-,N
-,N
M,N
-,Y
M,N
-,N
M,Y
M,N
M,Y
M,Y
-,Y
M,N
F,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,Y
M,N
M,Y
-,Y
M,N
M,N
M,N
M,Y
M,N
-,-
-,N
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
-,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
-,N
F,N
F,Y
M,N
M,N
M,Y
M,Y
M,Y
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
F,Y
M,Y
M,N
M,Y
M,N
M,N
M,N
M,Y
M,Y
M,N
-,N
M,N
-,Y
M,Y
M,Y
M,N
-,N
M,Y
M,N
F,N
M,N
M,Y
M,Y
M,N
-,N
-,N
M,Y
F,Y
M,N
M,N
M,N
M,Y
M,N
-,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,-
M,N
M,Y
M,Y
-,N
-,Y
-,N
M,Y
M,N
M,N
M,N
M,Y
M,N
M,Y
M,Y
M,Y
M,Y
M,N
M,N
M,N
M,N
M,Y
M,N
M,Y
M,Y
M,N
M,Y
M,N
M,Y
M,N
M,N
M,N
M,Y
M,Y
-,N
M,N
M,N
M,Y
M,N
M,Y
F,N
M,N
M,N
M,Y
-,Y
-,N
M,Y
-,N
-,-
M,N
M,Y
M,N
M,Y
M,N
M,N
M,Y
M,N
M,N
M,Y
F,Y
M,N
F,-
-,N
M,N
M,Y
-,N
-,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,Y
M,N
F,Y
M,Y
M,N
M,N
-,N
M,Y
M,N
M,Y
F,Y
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,Y
M,N
-,N
-,N
M,Y
M,Y
-,-
M,N
M,Y
M,N
M,N
M,N
M,Y
M,Y
M,Y
M,N
M,N
M,Y
M,N
-,-
M,Y
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,Y
M,-
M,Y
-,N
M,N
M,Y
-,-
M,N
M,N
M,Y
M,Y
-,N
M,Y
M,N
M,Y
M,N
M,N
M,N
M,N
M,Y
M,N
M,Y
M,N
M,N
F,Y
M,N
F,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
F,Y
M,Y
M,N
F,N
-,N
M,N
M,N
M,N
M,N
-,N
F,N
M,N
M,N
M,N
M,N
-,Y
M,Y
M,N
M,N
M,N
M,N
-,N
M,N
M,Y
F,N
M,N
M,N
F,Y
M,N
M,Y
M,Y
M,Y
M,N
M,Y
-,Y
-,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
-,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
M,N
M,N
M,N
M,Y
M,Y
-,N
F,Y
M,N
M,Y
M,N
F,Y
M,N
-,Y
M,N
M,N
M,Y
M,N
M,N
-,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
-,Y
M,N
-,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
M,Y
-,N
M,N
M,N
M,Y
M,N
M,N
M,Y
M,N
M,N
M,Y
M,N
M,N
M,Y
M,Y
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,N
M,N
-,Y
M,Y
M,N
M,N
M,N
M,Y
M,N
M,N
M,Y
M,N
M,Y
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,Y
F,N
M,N
M,N
M,Y
M,N
-,-
M,Y
M,N
M,N
-,-
M,N
-,Y
M,N
M,N
M,Y
M,N
M,Y
M,Y
M,Y
M,N
M,N
M,N
M,Y
M,N
M,Y
M,N
M,N
M,Y
M,Y
F,Y
M,Y
M,N
M,N
M,Y
M,N
M,N
M,N
M,Y
-,Y
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
-,N
M,N
-,Y
M,Y
-,N
M,N
M,N
M,Y
M,N
-,Y
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,N
-,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
M,N
-,Y
-,N
M,N
M,N
-,N
M,Y
-,Y
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,Y
-,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,Y
M,N
-,N
-,N
F,N
M,Y
M,N
M,Y
M,N
M,N
-,Y
-,Y
-,Y
M,Y
M,Y
M,N
M,N
M,N
M,Y
F,N
M,N
M,N
-,N
M,Y
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
-,N
M,N
M,Y
M,Y
M,Y
M,N
F,N
-,N
M,Y
-,Y
M,N
M,Y
M,N
M,N
M,Y
M,Y
M,N
M,N
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
M,N
M,Y
M,N
M,Y
-,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,Y
M,Y
-,Y
-,Y
-,Y
M,Y
-,Y
M,N
M,N
M,N
M,N
M,-
F,Y
M,Y
M,N
M,N
M,Y
M,N
M,Y
M,Y
M,Y
M,N
M,Y
M,N
-,N
M,N
M,N
M,Y
M,N
M,Y
M,N
M,Y
M,Y
M,N
M,N
M,N
-,Y
M,Y
M,Y
-,N
F,Y
M,N
M,Y
M,N
M,Y
-,N
-,N
M,N
M,Y
M,N
M,N
M,N
M,Y
-,Y
M,N
M,N
M,N
-,Y
M,N
M,Y
-,N
M,Y
M,N
-,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,Y
M,Y
M,N
M,Y
M,Y
M,N
M,Y
M,Y
M,N
M,N
M,Y
M,N
M,N
M,N
M,Y
M,N
M,Y
-,N
M,Y
M,N
M,Y
M,N
M,Y
M,N
-,N
F,Y
-,N
-,-
F,Y
F,N
M,N
M,Y
-,N
-,N
-,-
-,-
M,Y
M,N
M,N
M,N
M,N
-,Y
M,N
M,N
M,Y
M,Y
M,Y
M,N
M,N
F,N
-,N
M,Y
M,N
M,Y
M,Y
M,N
M,Y
M,N
M,N
M,N
M,N
M,Y
-,Y
M,N
M,Y
M,N
-,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,Y
M,Y
M,Y
M,Y
M,Y
M,N
M,N
M,N
-,N
-,N
M,N
M,N
M,N
M,Y
M,Y
-,N
-,Y
M,N
M,Y
M,N
M,Y
M,N
M,Y
M,Y
-,N
-,N
M,N
M,Y
M,N
M,N
M,N
-,N
-,N
M,Y
M,Y
M,N
M,N
M,N
-,N
M,N
M,N
M,Y
-,N
M,N
-,N
M,Y
M,Y
M,N
-,N
M,N
M,N
M,N
-,N
F,N
M,N
M,Y
M,Y
M,N
M,N
M,Y
-,N
M,N
M,Y
M,Y
M,Y
M,N
M,Y
M,Y
M,Y
M,Y
F,Y
M,N
M,Y
-,N
-,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,N
-,N
-,-
M,N
F,N
M,Y
M,Y
M,N
F,Y
M,N
M,Y
M,N
M,N
F,N
M,Y
F,Y
M,N
-,N
M,N
M,Y
M,N
M,Y
M,N
M,Y
M,Y
-,N
M,N
M,Y
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
F,N
M,N
-,Y
M,N
M,N
M,Y
M,Y
M,N
M,N
-,N
M,N
M,Y
M,N
M,N
-,-
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
F,Y
M,Y
M,N
M,Y
F,Y
M,N
M,N
M,Y
M,N
-,-
M,Y
M,N
M,N
M,Y
M,N
F,N
M,Y
M,Y
M,Y
-,N
M,Y
M,Y
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
-,N
M,Y
M,Y
-,N
M,N
M,Y
M,N
M,N
M,N
M,Y
-,-
M,N
M,Y
-,N
M,Y
M,N
M,Y
-,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
-,Y
M,Y
M,N
M,N
M,Y
M,N
-,Y
M,N
M,Y
M,N
M,Y
M,Y
M,N
F,N
M,N
M,Y
-,Y
M,N
M,N
M,N
M,Y
M,N
M,N
F,Y
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,Y
M,N
M,N
M,Y
-,N
M,Y
M,Y
F,N
M,Y
M,Y
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,-
M,N
M,N
M,N
M,-
M,N
M,N
M,Y
M,N
M,Y
M,N
M,Y
F,N
M,N
M,Y
-,Y
M,Y
F,N
M,N
M,N
M,Y
-,Y
-,Y
M,N
M,N
-,N
-,Y
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,Y
M,N
M,Y
M,N
-,N
M,Y
M,Y
M,Y
M,N
M,N
M,N
M,Y
M,N
F,N
F,Y
M,N
M,N
M,Y
M,N
F,Y
M,-
M,Y
-,N
M,N
M,N
M,N
F,N
-,-
M,N
M,N
M,Y
M,Y
M,N
M,N
M,N
F,Y
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
-,N
F,N
M,-
M,Y
M,N
M,Y
M,N
M,Y
M,Y
M,Y
M,Y
-,N
M,N
M,N
M,N
M,Y
-,N
M,N
M,Y
M,N
M,N
M,-
M,Y
M,Y
M,N
M,Y
M,N
M,N
F,Y
M,Y
M,Y
M,-
M,N
M,Y
-,N
M,N
F,Y
M,Y
M,N
M,Y
M,N
F,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
M,N
M,Y
M,N
-,Y
M,N
M,Y
M,N
M,N
M,Y
-,-
M,N
M,Y
M,N
-,Y
M,Y
M,N
M,N
-,N
M,N
M,N
F,N
M,Y
M,Y
M,Y
F,N
M,N
M,N
M,Y
M,N
M,Y
M,N
M,N
M,Y
M,-
M,N
F,N
M,Y
M,Y
M,N
F,N
M,Y
M,Y
M,Y
M,N
M,N
M,N
M,Y
M,N
M,N
M,Y
M,Y
M,Y
M,N
M,Y
M,N
M,N
M,N
M,Y
F,N
M,N
M,Y
M,Y
M,Y
M,N
M,N
F,N
M,N
M,N
M,Y
M,Y
M,Y
M,N
M,N
M,Y
M,Y
M,N
M,Y
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,Y
M,N
M,N
M,Y
M,Y
M,-
M,N
F,N
M,Y
M,Y
F,N
M,N
M,N
M,N
M,Y
M,Y
F,N
M,Y
M,Y
M,N
M,N
F,N
F,-
-,N
M,Y
M,N
M,N
M,N
M,-
F,-
-,Y
M,Y
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,Y
M,N
M,Y
M,-
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
M,Y
M,N
M,Y
M,N
M,Y
M,N
M,Y
-,N
M,Y
M,N
M,N
M,Y
M,Y
M,Y
M,N
M,N
M,N
-,Y
M,N
M,Y
M,N
M,N
M,N
M,Y
M,Y
M,-
M,N
M,Y
M,N
-,Y
M,N
M,Y
M,N
M,N
F,Y
M,Y
M,Y
M,N
F,Y
M,Y
F,Y
M,Y
-,Y
-,N
M,Y
M,Y
M,Y
M,N
M,Y
-,Y
F,Y
M,Y
M,Y
-,Y
-,Y
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
M,N
M,N
M,N
M,N
F,Y
F,Y
M,Y
M,N
F,Y
M,Y
M,N
M,N
M,Y
M,Y
M,N
M,Y
M,Y
M,N
M,Y
M,N
M,N
M,Y
M,N
M,Y
M,N
M,Y
M,Y
M,N
M,N
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
M,Y
M,N
M,N
M,Y
M,Y
M,Y
M,N
M,Y
M,N
-,Y
M,Y
M,Y
-,N
M,N
M,Y
M,Y
M,Y
M,N
M,Y
M,Y
M,Y
M,Y
M,Y
M,N
M,N
M,Y
M,Y
M,N
M,N
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
M,N
M,Y
M,N
M,N
M,N
M,N
M,Y
M,N
M,Y
M,Y
M,N
M,N
M,N
M,Y
M,Y
M,-
M,-
M,N
M,Y
M,N
M,Y
M,Y
M,Y
M,N
M,-
M,N
M,N
M,Y
M,Y
-,N
M,N
M,N
M,N
M,N
-,Y
M,N
M,Y
M,Y
M,Y
M,Y
M,N
M,N
M,N
M,Y
M,N
M,Y
M,Y
M,Y
F,Y
M,N
M,N
M,N
M,Y
M,Y
M,N
M,N
M,N
-,Y
M,Y
M,Y
M,Y
M,Y
M,N
M,-
M,N
M,Y
F,N
M,Y
M,N
M,Y
M,Y
M,N
M,N
-,Y
M,N
M,N
M,Y
-,Y
M,Y
M,Y
M,N
-,-
M,N
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
M,N
M,Y
M,Y
M,N
M,Y
M,N
M,Y
M,Y
M,Y
-,N
M,Y
M,N
M,Y
M,N
M,Y
M,N
M,Y
M,Y
M,N
M,Y
M,N
M,Y
M,Y
-,N
M,N
M,N
M,Y
M,N
F,N
M,N
F,-
M,N
M,Y
M,-
M,Y
M,N
M,Y
F,Y
F,Y
M,Y
-,N
M,Y
M,Y
M,Y
F,Y
M,Y
M,N
M,N
M,Y
M,Y
M,Y
-,-
M,Y
M,N
F,N
M,N
-,-
M,Y
M,N
M,Y
M,Y
M,N
M,Y
M,N
M,N
-,Y
M,Y
M,N
M,Y
-,Y
M,Y
-,Y
M,N
M,Y
-,N
M,N
M,N
M,N
M,N
M,Y
M,-
M,Y
M,N
M,-
M,-
M,Y
M,Y
-,-
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
-,N
M,Y
M,N
M,Y
M,Y
-,Y
M,Y
-,N
M,Y
M,Y
-,Y
-,N
M,Y
M,N
M,Y
M,N
M,N
M,Y
M,Y
M,Y
M,Y
M,N
-,Y
-,N
M,Y
-,N
M,Y
M,Y
M,N
M,N
-,N
M,N
M,Y
F,Y
M,Y
M,N
M,Y
M,N
M,Y
M,N
M,N
M,N
M,Y
M,N
-,N
M,N
M,Y
M,N
M,N
M,Y
M,Y
M,N
M,N
M,Y
F,Y
M,N
M,N
M,Y
F,Y
M,Y
M,Y
M,N
M,N
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,Y
M,Y
M,N
M,N
M,N
M,Y
M,Y
M,Y
M,N
M,N
M,Y
-,Y
M,N
M,Y
M,Y
M,Y
M,N
M,N
F,N
M,Y
M,Y
M,Y
-,N
F,N
M,Y
M,Y
M,N
M,N
M,Y
M,N
-,N
M,N
M,N
M,Y
M,Y
M,Y
M,N
M,Y
M,Y
M,N
M,N
M,Y
M,Y
M,Y
F,Y
M,N
M,Y
M,Y
-,Y
M,N
M,Y
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,Y
F,N
M,Y
-,N
M,Y
M,N
M,Y
M,Y
M,Y
M,N
M,N
M,Y
M,N
-,Y
M,Y
M,N
M,N
M,Y
-,N
-,N
M,N
M,N
M,Y
M,N
M,N
M,N
-,Y
M,N
M,Y
M,N
M,N
M,Y
M,N
M,-
M,N
-,Y
M,Y
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,Y
M,Y
-,N
M,Y
M,N
M,Y
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
M,Y
-,N
M,N
M,N
M,N
M,Y
M,Y
M,Y
M,N
M,Y
M,Y
M,N
M,Y
M,N
M,Y
M,Y
M,Y
M,N
M,Y
-,-
F,N
M,-
M,Y
M,Y
M,Y
M,N
M,N
F,N
M,Y
M,Y
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,Y
M,Y
M,Y
M,-
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,-
M,Y
M,N
M,Y
F,Y
M,Y
M,Y
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,Y
M,Y
M,Y
M,N
M,Y
M,Y
M,Y
F,-
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
M,Y
M,Y
M,Y
M,Y
F,Y
M,Y
M,N
M,N
M,N
M,Y
M,N
-,N
M,Y
M,N
M,Y
M,Y
M,N
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
-,N
M,Y
M,N
M,Y
M,Y
M,N
-,N
M,Y
M,Y
M,Y
M,Y
M,N
M,N
M,Y
M,-
-,-
-,-
M,Y
M,N
F,Y
F,N
M,N
M,Y
M,Y
M,Y
M,Y
M,N
M,Y
M,N
M,Y
M,N
M,N
M,Y
M,Y
M,N
M,Y
M,Y
M,Y
M,N
-,Y
M,N
M,-
M,Y
M,Y
M,Y
M,N
-,Y
M,N
M,Y
M,N
M,Y
-,N
M,N
F,Y
F,Y
-,N
M,Y
M,Y
M,Y
M,Y
-,Y
M,Y
M,N
M,Y
M,N
M,N
M,-
M,Y
M,Y
M,Y
-,-
M,Y
M,N
M,Y
M,N
M,Y
M,Y
M,-
-,-
-,-
M,Y
M,-
M,Y
M,-
M,-
M,Y
-,N
M,Y
M,N
M,Y
M,Y
M,N
-,N
M,N
M,Y
M,Y
-,N
M,Y
M,N
M,Y
F,N
M,Y
M,N
M,Y
F,Y
M,Y
M,N
M,N
-,N
F,N
M,N
F,N
M,N
-,Y
M,Y
M,N
M,Y
F,N
M,N
M,N
M,Y
M,N
M,Y
-,N
M,Y
M,N
M,Y
M,N
M,N
M,N
-,N
F,Y
M,N
M,N
F,Y
M,N
M,N
M,N
M,Y
F,N
M,Y
M,N
F,Y
M,N
M,Y
M,Y
M,N
M,N
-,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
F,N
M,N
F,N
M,Y
M,N
M,N
M,Y
M,Y
M,Y
M,Y
M,N
M,N
M,N
M,Y
-,Y
M,N
M,N
M,Y
M,Y
M,Y
M,Y
M,Y
M,N
M,N
M,Y
M,N
M,N
M,N
M,Y
M,N
M,N
M,Y
M,-
-,Y
F,N
M,N
M,Y
M,Y
M,N
M,N
M,Y
M,Y
-,Y
M,N
M,Y
M,Y
M,N
F,N
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
M,Y
