Sex,Fatal
M,N
M,N
F,N
M,N
F,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
F,N
F,N
M,N
F,N
M,N
M,N
M,N
F,N
F,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
F,N
M,N
M,N
M,N
M,N
M,Y
M,Y
F,N
M,N
M,N
M,N
M,N
M,Y
F,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,Y
M,N
-,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,Y
M,Y
M,N
M,N
M,Y
F,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,Y
F,N
F,N
F,N
F,N
M,N
M,N
M,N
M,N
F,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
F,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,Y
M,N
M,N
F,N
F,N
F,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,Y
M,N
-,N
M,N
M,Y
M,Y
M,N
M,N
-,Y
M,N
F,N
M,N
-,N
M,N
M,N
-,N
-,N
-,N
M,N
M,N
M,Y
M,N
M,N
M,N
-,N
M,Y
F,N
M,N
F,N
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
F,N
M,N
M,N
F,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
F,N
F,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
F,N
F,N
M,N
M,N
-,N
F,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,Y
M,N
M,-
M,N
M,Y
M,N
M,N
M,N
M,N
-,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
F,N
M,N
M,N
M,N
M,N
-,N
M,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,Y
F,Y
F,N
F,N
F,N
F,Y
F,N
M,N
M,N
M,N
F,N
M,N
F,N
F,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
F,N
F,N
M,N
M,N
-,-
M,N
F,N
M,N
M,N
F,N
F,N
M,N
F,N
F,N
M,N
F,N
M,N
F,N
M,N
M,Y
F,N
M,N
-,Y
F,N
F,N
M,N
M,N
-,N
M,N
M,N
M,N
M,N
-,Y
M,N
F,N
M,N
F,N
M,N
M,N
M,Y
M,N
M,N
M,N
-,N
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
-,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
M,Y
M,Y
M,Y
M,N
M,N
F,N
M,N
-,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
M,N
F,N
F,N
M,Y
M,N
M,N
F,N
M,N
F,N
M,N
F,N
M,N
M,N
F,N
M,Y
M,N
M,N
F,N
M,N
M,N
-,N
M,N
M,N
M,N
F,N
M,N
F,N
M,N
M,Y
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,Y
F,N
M,Y
M,N
M,N
F,N
M,Y
M,N
M,N
M,N
M,N
F,Y
M,N
M,N
M,N
F,N
M,N
M,N
M,N
F,Y
M,N
M,N
M,N
M,N
-,N
M,N
-,N
M,N
M,N
-,N
M,N
M,N
-,N
M,N
M,N
-,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,Y
M,N
F,N
M,N
M,N
M,Y
M,Y
M,N
M,N
M,N
M,N
-,N
M,N
M,N
M,Y
F,N
M,N
M,N
M,Y
M,N
-,N
M,N
F,N
M,N
M,N
F,Y
F,Y
M,N
M,N
M,N
F,N
F,N
M,N
M,Y
M,N
M,N
F,N
M,N
M,N
-,N
M,N
M,N
M,N
M,N
-,N
M,N
M,N
F,N
M,N
M,N
F,N
F,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
M,N
F,N
M,Y
M,Y
M,N
M,N
F,Y
-,N
M,N
-,N
M,N
-,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,N
M,N
M,N
-,Y
F,N
F,N
M,N
M,N
M,Y
M,N
M,N
-,N
F,N
M,N
F,N
F,N
F,N
M,N
-,N
M,N
M,Y
F,N
M,N
M,N
M,N
F,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
F,N
F,N
M,N
M,N
M,Y
M,N
-,N
M,Y
M,Y
M,Y
M,N
F,Y
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
-,Y
M,N
-,N
M,N
M,N
M,Y
M,N
M,N
M,N
M,Y
F,N
M,N
M,N
M,N
-,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,Y
F,N
M,N
M,N
M,N
F,N
M,Y
M,N
M,N
M,N
M,N
M,N
-,N
F,N
M,N
M,N
M,Y
M,N
M,N
F,Y
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,Y
F,N
M,N
M,N
M,N
-,N
F,N
M,N
M,N
M,N
M,N
F,N
-,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
M,N
F,N
M,N
M,N
M,N
M,N
